gene,motif,tf,score_frac_of_max,position,strand
LINC02044,CDX1_HUMAN.H11MO.0.C,CDX1,1.0,375,+
LINC02044,DLX2_HUMAN.H11MO.0.D,DLX2,1.0,802,+
LINC02044,GRHL2_HUMAN.H11MO.0.A,GRHL2,1.0,784,-
LINC02044,HAND1_HUMAN.H11MO.1.D,HAND1,1.0,1761,+
LINC02044,MSX2_HUMAN.H11MO.0.D,MSX2,1.0,1846,+
LINC02044,NFAC4_HUMAN.H11MO.0.C,NFAC4,1.0,1903,-
LINC02044,NFIA_HUMAN.H11MO.1.D,NFIA,1.0,1088,+
LINC02044,NKX25_HUMAN.H11MO.0.B,NKX25,1.0,1969,-
LINC02044,UBIP1_HUMAN.H11MO.0.D,UBIP1,1.0,426,+
LINC02044,ZN335_HUMAN.H11MO.1.A,ZN335,1.0,562,+
SIGLEC17P,ESR2_HUMAN.H11MO.1.A,ESR2,1.0,1898,+
SIGLEC17P,ETV7_HUMAN.H11MO.0.D,ETV7,1.0,484,+
SIGLEC17P,FLI1_HUMAN.H11MO.1.A,FLI1,1.0,1846,+
SIGLEC17P,HMGA1_HUMAN.H11MO.0.D,HMGA1,1.0,775,+
SIGLEC17P,MSX2_HUMAN.H11MO.0.D,MSX2,1.0,973,-
SIGLEC17P,NFIA_HUMAN.H11MO.1.D,NFIA,1.0,1988,-
SIGLEC17P,NFIC_HUMAN.H11MO.1.A,NFIC,1.0,1987,-
SIGLEC17P,NKX22_HUMAN.H11MO.0.D,NKX22,1.0,2105,+
SIGLEC17P,NR1H4_HUMAN.H11MO.1.B,NR1H4,1.0,1487,+
SIGLEC17P,NR1I2_HUMAN.H11MO.1.D,NR1I2,1.0,87,+
TM9SF4,ESR2_HUMAN.H11MO.1.A,ESR2,1.0,532,+
TM9SF4,ETV7_HUMAN.H11MO.0.D,ETV7,1.0,1845,-
TM9SF4,HMGA1_HUMAN.H11MO.0.D,HMGA1,1.0,285,-
TM9SF4,MSX2_HUMAN.H11MO.0.D,MSX2,1.0,45,+
TM9SF4,NKX61_HUMAN.H11MO.1.B,NKX61,1.0,1118,+
TM9SF4,NR1I3_HUMAN.H11MO.1.D,NR1I3,1.0,1278,-
TM9SF4,UBIP1_HUMAN.H11MO.0.D,UBIP1,1.0,1034,+
TM9SF4,VDR_HUMAN.H11MO.1.A,VDR,1.0,208,-
TM9SF4,ZN335_HUMAN.H11MO.1.A,ZN335,1.0,371,-
TM9SF4,CDX1_HUMAN.H11MO.0.C,CDX1,0.992,335,+
TPCN1,FOXJ2_HUMAN.H11MO.0.C,FOXJ2,1.0,384,+
TPCN1,FOXO4_HUMAN.H11MO.0.C,FOXO4,1.0,383,+
TPCN1,FOXP1_HUMAN.H11MO.0.A,FOXP1,1.0,382,+
TPCN1,HAND1_HUMAN.H11MO.1.D,HAND1,1.0,911,-
TPCN1,HMGA1_HUMAN.H11MO.0.D,HMGA1,1.0,158,+
TPCN1,NR1H4_HUMAN.H11MO.1.B,NR1H4,1.0,2046,-
TPCN1,NR4A1_HUMAN.H11MO.0.A,NR4A1,1.0,2047,-
TPCN1,PPARA_HUMAN.H11MO.1.B,PPARA,1.0,2047,-
TPCN1,RARG_HUMAN.H11MO.1.B,RARG,1.0,1430,-
TPCN1,VDR_HUMAN.H11MO.1.A,VDR,1.0,78,+
ZBED3,ESR2_HUMAN.H11MO.1.A,ESR2,1.0,907,-
ZBED3,HIF1A_HUMAN.H11MO.0.C,HIF1A,1.0,1235,-
ZBED3,MECP2_HUMAN.H11MO.0.C,MECP2,1.0,1073,-
ZBED3,MSX2_HUMAN.H11MO.0.D,MSX2,1.0,1448,+
ZBED3,NFIA_HUMAN.H11MO.1.D,NFIA,1.0,1469,+
ZBED3,TGIF1_HUMAN.H11MO.0.A,TGIF1,1.0,1355,+
ZBED3,UBIP1_HUMAN.H11MO.0.D,UBIP1,1.0,1202,+
ZBED3,ZN335_HUMAN.H11MO.1.A,ZN335,1.0,46,-
ZBED3,NF2L1_HUMAN.H11MO.0.C,NF2L1,0.992,176,+
ZBED3,NKX61_HUMAN.H11MO.1.B,NKX61,0.986,521,+
