gene_symbol,gene_biotype
Y_RNA,misc_RNA
ENSG00000284747,lncRNA
ENSG00000284716,lncRNA
ERRFI1,protein_coding
ERRFI1-DT,lncRNA
RPL7AP18,processed_pseudogene
ENSG00000229305,processed_pseudogene
ENSG00000288816,lncRNA
LINC01714,lncRNA
RNU1-7P,snRNA
ENSG00000233645,lncRNA
RNU6-991P,snRNA
SLC45A1,protein_coding
RERE,protein_coding
RERE-AS1,lncRNA
ENSG00000221083,snoRNA
ENSG00000270282,processed_pseudogene
RPL7P11,processed_pseudogene
RPL7P7,processed_pseudogene
ENSG00000226545,unprocessed_pseudogene
ENSG00000228423,lncRNA
RPL23AP19,processed_pseudogene
ENO1,protein_coding
MIR6728,miRNA
ENO1-AS1,lncRNA
RNU6-304P,snRNA
HMGN2P17,processed_pseudogene
ENSG00000232208,processed_pseudogene
ENSG00000232663,processed_pseudogene
CA6,protein_coding
ENSG00000290109,lncRNA
RN7SL451P,misc_RNA
SLC2A7,protein_coding
SLC2A5,protein_coding
ENSG00000252404,scaRNA
GPR157,protein_coding
MIR34AHG,lncRNA
MIR34A,miRNA
ENSG00000289914,lncRNA
LNCTAM34A,lncRNA
H6PD,protein_coding
SPSB1,protein_coding
ENSG00000284652,lncRNA
LINC02606,lncRNA
RNA5SP40,rRNA_pseudogene
ENSG00000235263,lncRNA
SLC25A33,protein_coding
ENSG00000231181,processed_pseudogene
TMEM201,protein_coding
PIK3CD,protein_coding
PIK3CD-AS1,lncRNA
ENSG00000233268,processed_pseudogene
PIK3CD-AS2,lncRNA
CLSTN1,protein_coding
MZT1P1,processed_pseudogene
ENSG00000280113,TEC
CTNNBIP1,protein_coding
ENSG00000223989,lncRNA
ENSG00000285701,lncRNA
LZIC,protein_coding
ENSG00000228150,lncRNA
NMNAT1,protein_coding
RN7SKP269,misc_RNA
TMEM274P,unitary_pseudogene
MIR5697,miRNA
ENSG00000241326,lncRNA
RBP7,protein_coding
UBE4B,protein_coding
RPL21P21,processed_pseudogene
PGAM1P11,processed_pseudogene
RNU6-828P,snRNA
KIF1B,protein_coding
ENSG00000264881,miRNA
RNU6-37P,snRNA
RN7SL731P,misc_RNA
ENSG00000284735,lncRNA
ENSG00000284642,lncRNA
PGD,protein_coding
ENSG00000271989,lncRNA
CENPS-CORT,protein_coding
CENPS,protein_coding
CORT,protein_coding
DFFA,protein_coding
ENSG00000203469,lncRNA
PEX14,protein_coding
ENSG00000287727,lncRNA
RN7SL614P,misc_RNA
CASZ1,protein_coding
ENSG00000272078,lncRNA
HSPE1P24,processed_pseudogene
C1orf127,protein_coding
CFL1P6,processed_pseudogene
TARDBP,protein_coding
MASP2,protein_coding
SRM,protein_coding
EXOSC10,protein_coding
ENSG00000226849,lncRNA
EXOSC10-AS1,lncRNA
MTOR,protein_coding
MTOR-AS1,lncRNA
RNU6-537P,snRNA
ANGPTL7,protein_coding
RNU6-291P,snRNA
RPL39P6,processed_pseudogene
UBIAD1,protein_coding
UBE2V2P3,processed_pseudogene
ENSG00000284646,lncRNA
MTCYBP45,processed_pseudogene
DISP3,protein_coding
ENSG00000285833,lncRNA
LINC01647,lncRNA
ENSG00000284708,lncRNA
FBXO2,protein_coding
FBXO44,protein_coding
MAD2L2,protein_coding
FBXO6,protein_coding
DRAXIN,protein_coding
AGTRAP,protein_coding
C1orf167,protein_coding
C1orf167-AS1,lncRNA
MTHFR,protein_coding
CLCN6,protein_coding
ENSG00000276470,misc_RNA
ENSG00000278852,misc_RNA
NPPA,protein_coding
ENSG00000275915,misc_RNA
NPPB,protein_coding
SBF1P2,processed_pseudogene
ENSG00000285646,lncRNA
RNU5E-1,snRNA
RNU5E-4P,snRNA
KIAA2013,protein_coding
PLOD1,protein_coding
ENSG00000287384,lncRNA
MFN2,protein_coding
ENSG00000270914,processed_pseudogene
MIIP,protein_coding
MIR6729,miRNA
RN7SL649P,misc_RNA
TNFRSF8,protein_coding
RNU6-777P,snRNA
RPL23AP89,processed_pseudogene
ENSG00000285604,lncRNA
MIR7846,miRNA
TNFRSF1B,protein_coding
MIR4632,miRNA
RPL10P17,processed_pseudogene
SNORA70,snoRNA
VPS13D,protein_coding
SNORA59A,snoRNA
LINC02766,lncRNA
DHRS3,protein_coding
RNU6ATAC18P,snRNA
MIR6730,miRNA
ENSG00000288927,lncRNA
ENSG00000272482,lncRNA
AADACL4,protein_coding
ENSG00000226166,processed_pseudogene
AADACL3,protein_coding
CFAP107,protein_coding
PRAMEF12,protein_coding
PRAMEF1,protein_coding
LINC01784,lncRNA
PRAMEF11,protein_coding
PRAMEF30P,unprocessed_pseudogene
HNRNPCL1,protein_coding
PRAMEF2,protein_coding
PRAMEF4,protein_coding
PRAMEF10,protein_coding
PRAMEF7,protein_coding
RNU6-1072P,snRNA
PRAMEF29P,unprocessed_pseudogene
PRAMEF6,protein_coding
PRAMEF28P,unprocessed_pseudogene
PRAMEF27,protein_coding
HNRNPCL3,protein_coding
PRAMEF25,protein_coding
PRAMEF34P,unprocessed_pseudogene
PRAMEF35P,unprocessed_pseudogene
HNRNPCL2,protein_coding
PRAMEF36P,transcribed_unprocessed_pseudogene
ENSG00000290772,lncRNA
ENSG00000233336,lncRNA
PRAMEF26,protein_coding
HNRNPCL4,protein_coding
PRAMEF9,protein_coding
PRAMEF13,protein_coding
PRAMEF18,protein_coding
PRAMEF31P,unprocessed_pseudogene
PRAMEF5,protein_coding
PRAMEF32P,unprocessed_pseudogene
RNU6-771P,snRNA
PRAMEF8,protein_coding
PRAMEF33,protein_coding
PRAMEF15,protein_coding
ENSG00000228229,lncRNA
PRAMEF14,protein_coding
PRAMEF19,protein_coding
PRAMEF17,protein_coding
PRAMEF20,protein_coding
LRRC38,protein_coding
ENSG00000259961,lncRNA
BRWD1P1,processed_pseudogene
PDPN,protein_coding
RNA5SP41,rRNA_pseudogene
ENSG00000237445,lncRNA
ENSG00000253085,scaRNA
PRDM2,protein_coding
ENSG00000289380,lncRNA
KAZN,protein_coding
RNU6-1265P,snRNA
ENSG00000231606,lncRNA
KAZN-AS1,lncRNA
TBCAP2,processed_pseudogene
ENSG00000287756,lncRNA
TMEM51-AS1,lncRNA
TMEM51,protein_coding
TMEM51-AS2,lncRNA
MFFP1,processed_pseudogene
ZBTB2P1,processed_pseudogene
FHAD1,protein_coding
FHAD1-AS1,lncRNA
ENSG00000236045,lncRNA
EFHD2-AS1,lncRNA
EFHD2,protein_coding
CTRC,protein_coding
CELA2A,protein_coding
CELA2B,protein_coding
CASP9,protein_coding
DNAJC16,protein_coding
SCARNA21B,scaRNA
ENSG00000272510,lncRNA
AGMAT,protein_coding
ENSG00000237301,lncRNA
CHCHD2P6,processed_pseudogene
RNU7-179P,snRNA
CD24P1,processed_pseudogene
DDI2,protein_coding
RSC1A1,protein_coding
ENSG00000271742,lncRNA
PLEKHM2,protein_coding
ENSG00000237938,lncRNA
SLC25A34,protein_coding
SLC25A34-AS1,lncRNA
TMEM82,protein_coding
FBLIM1,protein_coding
RPL12P14,processed_pseudogene
UQCRHL,protein_coding
ENSG00000178715,processed_pseudogene
SPEN-AS1,lncRNA
SPEN,protein_coding
ENSG00000270620,unprocessed_pseudogene
ZBTB17,protein_coding
ENSG00000234607,processed_pseudogene
ENSG00000231353,unprocessed_pseudogene
ENSG00000275503,processed_pseudogene
TBC1D3P6,unprocessed_pseudogene
SRARP,protein_coding
ENSG00000233078,lncRNA
HSPB7,protein_coding
CLCNKA,protein_coding
FAM131C2P,unprocessed_pseudogene
CLCNKB,protein_coding
FAM131C,protein_coding
EPHA2,protein_coding
EPHA2-AS1,lncRNA
ENSG00000224621,lncRNA
ARHGEF19-AS1,lncRNA
ARHGEF19,protein_coding
ENSG00000291077,lncRNA
ANO7L1,transcribed_unprocessed_pseudogene
ENSG00000288398,lncRNA
CPLANE2,protein_coding
MT1XP1,processed_pseudogene
FBXO42,protein_coding
SZRD1,protein_coding
RPL22P3,processed_pseudogene
SPATA21,protein_coding
NECAP2,protein_coding
LINC01772,lncRNA
CROCCP3,lncRNA
RNU1-1,snRNA
ENSG00000261135,lncRNA
ENSG00000285853,lncRNA
ENSG00000224174,lncRNA
LINC01783,lncRNA
RNU1-6P,snRNA
PDE4DIPP8,unprocessed_pseudogene
NBPF1,protein_coding
ENSG00000271732,lncRNA
CROCCP2,lncRNA
ENSG00000283773,transcribed_unprocessed_pseudogene
MST1P2,unprocessed_pseudogene
ENSG00000282143,lncRNA
RNU1-3,snRNA
ENSG00000280114,unprocessed_pseudogene
EIF1AXP1,processed_pseudogene
ENSG00000290849,lncRNA
ESPNP,transcribed_unprocessed_pseudogene
ENSG00000279151,lncRNA
ENSG00000282740,lncRNA
CROCC,protein_coding
ENSG00000290850,lncRNA
RNU1-4,snRNA
CROCCP4,transcribed_unprocessed_pseudogene
ENSG00000290851,lncRNA
MST1L,transcribed_unprocessed_pseudogene
ENSG00000223643,lncRNA
PDE4DIPP9,unprocessed_pseudogene
MIR3675,miRNA
ENSG00000228549,lncRNA
RNU1-5P,snRNA
ENSG00000238142,lncRNA
ENSG00000235241,processed_pseudogene
RNU1-2,snRNA
ENSG00000272426,lncRNA
ENSG00000290122,lncRNA
MFAP2,protein_coding
ENSG00000286898,lncRNA
ENSG00000226526,lncRNA
ATP13A2,protein_coding
ENSG00000288636,protein_coding
SDHB,protein_coding
PADI2,protein_coding
LINC02783,lncRNA
ENSG00000282843,lncRNA
PADI1,protein_coding
PADI3,protein_coding
MIR3972,miRNA
PADI4,protein_coding
PADI6,protein_coding
RCC2-AS1,lncRNA
RCC2,protein_coding
ENSG00000290096,lncRNA
ARHGEF10L,protein_coding
LINC02810,lncRNA
ACTL8,protein_coding
ENSG00000284653,lncRNA
LINC01654,lncRNA
IGSF21,protein_coding
ENSG00000280222,TEC
IGSF21-AS1,lncRNA
ENSG00000225387,lncRNA
KLHDC7A,protein_coding
DYNLL1P3,processed_pseudogene
ENSG00000225478,processed_pseudogene
PAX7,protein_coding
TAS1R2,protein_coding
ALDH4A1,protein_coding
MIR4695,miRNA
MIR1290,miRNA
IFFO2,protein_coding
ENSG00000272084,lncRNA
UBR4,protein_coding
EMC1-AS1,lncRNA
EMC1,protein_coding
MRTO4,protein_coding
ENSG00000286064,unprocessed_pseudogene
AKR7L,protein_coding
AKR7A3,protein_coding
ENSG00000270728,processed_pseudogene
AKR7A2,protein_coding
RNU6-1099P,snRNA
SLC66A1,protein_coding
CAPZB,protein_coding
RN7SL277P,misc_RNA
MICOS10,protein_coding
RNU4-28P,snRNA
MICOS10-DT,lncRNA
NBL1,protein_coding
MICOS10-NBL1,protein_coding
ENSG00000226396,processed_pseudogene
HTR6,protein_coding
TMCO4,protein_coding
RNF186,protein_coding
RNF186-AS1,lncRNA
OTUD3,protein_coding
PLA2G2E,protein_coding
RN7SL304P,misc_RNA
PLA2G2A,protein_coding
PLA2G5,protein_coding
PLA2G2D,protein_coding
PLA2G2F,protein_coding
ENSG00000227066,lncRNA
PLA2G2C,protein_coding
UBXN10,protein_coding
LINC01757,lncRNA
ENSG00000284710,lncRNA
VWA5B1,protein_coding
ENSG00000226664,lncRNA
LINC01141,lncRNA
ENSG00000226487,lncRNA
ENSG00000284641,lncRNA
ENSG00000284743,lncRNA
CAMK2N1,protein_coding
ENSG00000289402,lncRNA
MUL1,protein_coding
RPS4XP4,processed_pseudogene
FAM43B,protein_coding
CDA,protein_coding
PINK1,protein_coding
MIR6084,miRNA
PINK1-AS,lncRNA
DDOST,protein_coding
KIF17,protein_coding
ENSG00000235432,unprocessed_pseudogene
SH2D5,protein_coding
ENSG00000233069,lncRNA
HP1BP3,protein_coding
EIF4G3,protein_coding
RNU7-200P,snRNA
MIR1256,miRNA
RPS15AP6,processed_pseudogene
ENSG00000236073,processed_pseudogene
HSPE1P27,processed_pseudogene
ENSG00000287192,lncRNA
ECE1,protein_coding
ENSG00000236936,lncRNA
ECE1-AS1,lncRNA
PPP1R11P1,processed_pseudogene
PDE4DIPP10,unprocessed_pseudogene
ENSG00000236009,lncRNA
NBPF2P,unprocessed_pseudogene
HS6ST1P1,processed_pseudogene
CROCCP5,unprocessed_pseudogene
NBPF3,protein_coding
PFN1P10,processed_pseudogene
ALPL,protein_coding
ENSG00000289715,protein_coding
LINC02596,lncRNA
RAP1GAP,protein_coding
USP48,protein_coding
ENSG00000231978,processed_pseudogene
LDLRAD2,protein_coding
HSPG2,protein_coding
RPL21P29,processed_pseudogene
ENSG00000283234,transcribed_unitary_pseudogene
CELA3B,protein_coding
ENSG00000285959,lncRNA
RN7SL386P,misc_RNA
RNU6-1022P,snRNA
CELA3A,protein_coding
RN7SL186P,misc_RNA
RNU6-776P,snRNA
LINC01635,lncRNA
LINC00339,lncRNA
ENSG00000289694,protein_coding
CDC42-AS1,lncRNA
ENSG00000285794,transcribed_processed_pseudogene
CDC42,protein_coding
CDC42-IT1,lncRNA
MPHOSPH6P1,processed_pseudogene
WNT4,protein_coding
ENSG00000285873,lncRNA
MIR4418,miRNA
PPIAP34,processed_pseudogene
ENSG00000279625,TEC
ZBTB40,protein_coding
ZBTB40-IT1,lncRNA
EPHA8,protein_coding
MIR6127,miRNA
C1QA,protein_coding
ENSG00000289692,protein_coding
C1QC,protein_coding
C1QB,protein_coding
EPHB2,protein_coding
MIR4684,miRNA
ENSG00000225952,lncRNA
MIR4253,miRNA
LACTBL1,protein_coding
TEX46,protein_coding
KDM1A,protein_coding
ENSG00000240553,lncRNA
MIR3115,miRNA
ENSG00000266802,miRNA
LUZP1,protein_coding
ENSG00000229010,processed_pseudogene
RNU6-514P,snRNA
RNU6-135P,snRNA
ENSG00000289014,lncRNA
HTR1D,protein_coding
RPL29P6,processed_pseudogene
LINC01355,lncRNA
ENSG00000284726,lncRNA
HNRNPR,protein_coding
ZNF436,protein_coding
ZNF436-AS1,lncRNA
ENSG00000271420,lncRNA
TCEA3,protein_coding
ENSG00000232482,processed_pseudogene
ASAP3,protein_coding
E2F2,protein_coding
ENSG00000235052,lncRNA
ID3,protein_coding
ENSG00000285802,lncRNA
MDS2,lncRNA
EEF1A1P48,unprocessed_pseudogene
RPL11,protein_coding
ELOA-AS1,lncRNA
ELOA,protein_coding
PITHD1,protein_coding
ENSG00000289835,lncRNA
LYPLA2,protein_coding
GALE,protein_coding
HMGCL,protein_coding
FUCA1,protein_coding
CNR2,protein_coding
BTBD6P1,processed_pseudogene
ENSG00000232557,lncRNA
MIR378F,miRNA
H3P1,processed_pseudogene
PNRC2,protein_coding
SRSF10,protein_coding
RPL36P5,processed_pseudogene
ENSG00000225315,lncRNA
MYOM3,protein_coding
MYOM3-AS1,lncRNA
IL22RA1,protein_coding
IFNLR1,protein_coding
GRHL3,protein_coding
LINC02800,lncRNA
GRHL3-AS1,lncRNA
STPG1,protein_coding
NIPAL3,protein_coding
ENSG00000288982,lncRNA
RCAN3AS,lncRNA
RCAN3,protein_coding
NCMAP-DT,lncRNA
NCMAP,protein_coding
ENSG00000227312,processed_pseudogene
SRRM1,protein_coding
ENSG00000284699,lncRNA
CLIC4,protein_coding
RNU6-1208P,snRNA
RUNX3,protein_coding
MIR6731,miRNA
RUNX3-AS1,lncRNA
ENSG00000261025,lncRNA
MIR4425,miRNA
LINC02793,lncRNA
ENSG00000233755,lncRNA
IFITM3P7,processed_pseudogene
ENSG00000231953,lncRNA
SYF2,protein_coding
ENSG00000284602,lncRNA
ENSG00000284657,lncRNA
RSRP1,protein_coding
ENSG00000272432,lncRNA
ENSG00000261349,unprocessed_pseudogene
RHD,protein_coding
SDHDP6,processed_pseudogene
ENSG00000259984,unprocessed_pseudogene
TMEM50A,protein_coding
RHCE,protein_coding
ENSG00000238084,processed_pseudogene
MACO1,protein_coding
LDLRAP1,protein_coding
ENSG00000225643,lncRNA
MAN1C1,protein_coding
ENSG00000233478,lncRNA
SELENON,protein_coding
ENSG00000255054,protein_coding
ENSG00000228172,lncRNA
MTFR1L,protein_coding
ENSG00000272478,lncRNA
AUNIP,protein_coding
ENSG00000236528,lncRNA
PAQR7,protein_coding
STMN1,protein_coding
SNRPFP2,processed_pseudogene
ENSG00000223624,processed_pseudogene
MIR3917,miRNA
PAFAH2,protein_coding
RNU6-110P,snRNA
ENSG00000252190,scaRNA
ENSG00000252691,scaRNA
EXTL1,protein_coding
SLC30A2,protein_coding
ENSG00000284309,lncRNA
TRIM63,protein_coding
PDIK1L,protein_coding
FAM110D,protein_coding
C1orf232,protein_coding
ZNF593OS,protein_coding
ZNF593,protein_coding
CNKSR1,protein_coding
CATSPER4,protein_coding
ZPLD2P,transcribed_unitary_pseudogene
ENSG00000278572,unprocessed_pseudogene
CEP85,protein_coding
ENSG00000270733,processed_pseudogene
SH3BGRL3,protein_coding
UBXN11,protein_coding
CD52,protein_coding
CRYBG2,protein_coding
ENSG00000225854,processed_pseudogene
ZNF683,protein_coding
LIN28A,protein_coding
DHDDS,protein_coding
RPL17P9,processed_pseudogene
DHDDS-AS1,lncRNA
HMGN2,protein_coding
DPPA2P2,processed_pseudogene
RPS6KA1,protein_coding
MIR1976,miRNA
RN7SL679P,misc_RNA
RNU7-29P,snRNA
ENSG00000289452,lncRNA
ENSG00000229247,processed_pseudogene
ENSG00000238316,snoRNA
ENSG00000235069,processed_pseudogene
ENSG00000260063,lncRNA
ENSG00000290006,lncRNA
ARID1A,protein_coding
PIGV,protein_coding
RN7SL165P,misc_RNA
ENSG00000287810,unprocessed_pseudogene
ZDHHC18,protein_coding
SFN,protein_coding
GPN2,protein_coding
ENSG00000226698,lncRNA
ENSG00000289554,lncRNA
GPATCH3,protein_coding
NUDC,protein_coding
NR0B2,protein_coding
KDF1,protein_coding
RPL12P13,unprocessed_pseudogene
RPL32P6,processed_pseudogene
OSTCP2,processed_pseudogene
TRNP1,protein_coding
TENT5B,protein_coding
SLC9A1,protein_coding
ENSG00000229985,processed_pseudogene
CHCHD3P3,processed_pseudogene
NPM1P39,processed_pseudogene
SNRPEP7,processed_pseudogene
WDTC1-DT,lncRNA
WDTC1,protein_coding
ENSG00000243659,processed_pseudogene
TMEM222,protein_coding
RNU6-48P,snRNA
ACTG1P20,processed_pseudogene
SYTL1,protein_coding
MAP3K6,protein_coding
FCN3,protein_coding
CD164L2,protein_coding
ENSG00000231207,processed_pseudogene
GPR3,protein_coding
WASF2,protein_coding
ENSG00000241169,lncRNA
ENSG00000237429,lncRNA
AHDC1,protein_coding
FGR,protein_coding
ENSG00000235912,processed_pseudogene
LINC02574,lncRNA
IFI6,protein_coding
ENSG00000225886,lncRNA
RNU6-949P,snRNA
CHMP1AP1,processed_pseudogene
RNU6-424P,snRNA
ENSG00000287244,lncRNA
FAM76A,protein_coding
ENSG00000231344,processed_pseudogene
RPEP3,processed_pseudogene
STX12,protein_coding
ENSG00000269971,lncRNA
ENSG00000270031,lncRNA
RNU6-1245P,snRNA
ENSG00000286433,lncRNA
PPP1R8,protein_coding
SCARNA1,scaRNA
THEMIS2,protein_coding
RPA2,protein_coding
SMPDL3B,protein_coding
ENSG00000227050,lncRNA
XKR8,protein_coding
EYA3,protein_coding
ENSG00000238231,processed_pseudogene
RN7SL559P,misc_RNA
SPCS2P4,processed_pseudogene
ENSG00000228943,processed_pseudogene
ENSG00000289576,lncRNA
ARL8BP2,processed_pseudogene
RNU6-176P,snRNA
PTAFR,protein_coding
DNAJC8,protein_coding
ENSG00000290123,lncRNA
ATP5IF1,protein_coding
ENSG00000270605,lncRNA
